# date and time: 2022-05-23T10:01:54.776
# host: fluda.cs.umt.edu with 24  processes: 
# 8395.285683 seconds 
# funcs: Func[Func(&, 2, "AND"), Func(|, 2, "OR"), Func(xor, 2, "XOR"), Func(Main.CGP.Nand, 2, "NAND"), Func(Main.CGP.Nor, 2, "NOR")]
# use_lincircuit: true
# maxreps: 200
# iter_maxreps: 100
# numinputs: 4
# numoutputs: 1
# numinstructions: 10
# numregisters: 2
# max_steps: 600000
goal,numinputs,numoutputs,numinstructs,numregisters,maxsteps,ntries,nsuccesses,avg_steps,log_avg_steps,robustness,evo_count,nactive,complexity,degeneracy,sumsteps,sumtries
UInt16[0x43bb],4,1,10,2,600000,100.0,100.0,26476.15,4.408246859926328,0.3133,1705.0,0.0,7.485587337440881,0.0,0.0,0.0
UInt16[0x4455],4,1,10,2,600000,100.0,100.0,4722.205,3.673892164287383,0.5327333333333333,683.0,0.0,6.50683892727049,0.0,0.0,0.0
UInt16[0x447a],4,1,10,2,600000,108.5,100.0,203296.61,5.308129185348262,0.20913333333333334,2654.0,0.0,7.838585735182351,0.0,0.0,0.0
UInt16[0x451f],4,1,10,2,600000,100.0,100.0,23547.285,4.371236720060105,0.38663333333333333,1152.0,0.0,7.122705912480175,0.0,0.0,0.0
UInt16[0x4560],4,1,10,2,600000,100.5,100.0,48638.72,4.685465526312208,0.28246666666666664,1765.0,0.0,7.514717090733763,0.0,0.0,0.0
UInt16[0x458d],4,1,10,2,600000,100.0,100.0,21885.230000000003,4.3380131459457045,0.3427,1563.0,0.0,7.126593842479558,0.0,0.0,0.0
UInt16[0x4594],4,1,10,2,600000,108.5,100.0,168297.005,5.225867126395434,0.23213333333333336,2480.0,0.0,7.9886026408826485,0.0,0.0,0.0
UInt16[0x45b8],4,1,10,2,600000,100.5,100.0,80266.295,4.904389474304818,0.29456666666666664,1551.0,0.0,7.578171963394101,0.0,0.0,0.0
UInt16[0x45b8],4,1,10,2,600000,100.0,100.0,85569.04000000001,4.931545426861442,0.2919,1615.0,0.0,7.660764854534783,0.0,0.0,0.0
UInt16[0x4635],4,1,10,2,600000,106.0,100.0,166879.46000000002,5.221903844368676,0.23846666666666666,2616.0,0.0,7.974013507053231,0.0,0.0,0.0
UInt16[0x466a],4,1,10,2,600000,101.0,100.0,101400.685,5.005786462468292,0.3131666666666667,1490.0,0.0,7.191332434541422,0.0,0.0,0.0
UInt16[0x46b2],4,1,10,2,600000,141.5,100.0,433608.775,5.634630249889707,0.13793333333333335,3707.0,0.0,8.255132983918124,0.0,0.0,0.0
UInt16[0x470e],4,1,10,2,600000,125.0,100.0,308648.635,5.484121619622123,0.23816666666666667,2188.0,0.0,7.675864935796302,0.0,0.0,0.0
UInt16[0x4757],4,1,10,2,600000,101.0,100.0,97850.805,4.990014618016651,0.3917666666666667,980.0,0.0,6.804832437932471,0.0,0.0,0.0
UInt16[0x475e],4,1,10,2,600000,104.0,100.0,198344.05,5.2974189968622145,0.21776666666666666,2499.0,0.0,7.766955723810696,0.0,0.0,0.0
UInt16[0x47b0],4,1,10,2,600000,100.0,100.0,46947.16,4.6712926420167715,0.3100666666666667,1508.0,0.0,7.643447384997447,0.0,0.0,0.0
UInt16[0x4851],4,1,10,2,600000,101.5,100.0,109016.62,5.035395858024254,0.24659999999999999,2437.0,0.0,7.781176821791865,0.0,0.0,0.0
